Country Name,Capital,Currency,Official Language,Head of Government
Afghanistan,Kabul,Afghani,Dari Persian; Pashto,President - Ashraf Ghani
Albania,Tirane,Lek,Albanian,PM – Edi Rama
Algeria,Algiers,Dinar,Arabic; Tamazight; French,PM – Noureddin Bedoui
Andorra,Andorra la Vella,Euro,Catalan,Antoni Martí
Angola,Luanda,New Kwanza,Portuguese,President – João Lourenço
Antigua,Saint John's,East Caribbean dollar,English,PM – Gaston Browne
Argentina,Buenos Aires,Peso,Spanish,President – Mauricio Macri
Armenia,Yerevan,Dram,Armenian,PM – Armen Sarkissian
Australia,Canberra,Dollar,English,PM – Scott Morrison
Austria,Vienna,Euro/Schilling,German,PM –Sebastian Kurz
Azerbaijan,Baku,Manat,Azerbaijani,PM – Novruz Mammadov
The Bahamas,Nassau,Bahamian dollar,English,PM – Hubert Minnis
Bahrain,Manama,Bahrain dinar,Arabic,PM – Prince Khalifa bin Salman Al Khalifa
Bangladesh,Dhaka,Taka,Bangla,PM – Sheikh Hasina
Barbados,Bridgetown,Barbados dollar,English,PM – Mia Mottley
Belarus,Minsk,Belorussian ruble,Belarusian; Russian,PM – Syarhei Rumas
Belgium,Brussels,Euro/Franc,Dutch; French; German,PM – Charles Michel
Belize,Belmopan,Dollar,English,PM – Dean Barrow
Benin,Porto-Novo,CFA Franc,French,PM – Lionel Zinsou
Bhutan,Thimphu,Ngultrum,Dzongkha,PM – Lotay Tshering
Bolivia,La Paz,Boliviano,Spanish; Quechua; Aymara,PM – Evo Morales
Bosnia,Sarajevo,Convertible Mark,Croatian; Serbian,PM – Fadil Novalic
Botswana,Gaborone,Pula,English; Tswana,President – Mokgweetsi Masisi
Brazil,Brasilia,Real,Portuguese,President – Jair Bolsonaro
Brunei,Bandar Seri Begawan,Dollar,Malay,Sultan and PM – Hassanal Bolkiah
Bulgaria,Sofia,Lev,Bulgarian,PM – Boyko Borisov
Burkina Faso,Ouagadougou,CFA Franc,French,PM – Paul Kaba Thieba
Burundi,Bujumbura,Burundi franc,Kirundi; French,President – Pierre Nkurunziza
Cambodia,Phnom Penh,Riel,Khmer,PM – Hun Sen
Cameroon,Yaounde,CFA Franc,French; English,PM – Joseph Ngute
Canada,Ottawa,Dollar,English; French,PM – Justin Trudeau
Cape Verde,Praia,Escudo,Portuguese,PM – Ulisses Correia e Silva
Chad,N'Djamena,CFA Franc,French; Arabic,PM – Albert Pahimi Padacké
Chile,Santiago,Chilean Peso,Spanish,President – Verónica Michelle Bachelet Jeria
China,Beijing,Chinese Yuan,Mandarin,PM – Li Keqiang
Colombia,Bogota,Colombian Peso,Spanish,President – Ivan Duque Marquez
Comoros,Moroni,Franc,Comorian; Arabic; French,President – Azali Assoumani
Congo,Kinshasa,Congolese franc,French,PM – Clément Mouamba
Costa Rica,San Jose,Colón,Spanish,President – Carlos Alvarado Quesada
Cote d'Ivoire,Yamoussoukro,CFA Franc,French,PM-Daniel Kablan Duncan
Croatia,Zagreb,Croatian,Kuna,PM – Andrej Plenković
Cuba,Havana,Cuban Peso,Spanish,PM-Miguel Diaz-Canel
Cyprus,Nicosia,Euro,Greek; Turkish,President – Nicos Anastasiades
Czech Republic,Prague,Koruna,Czech; Slovak,PM – Andrej Babiš
Denmark,Copenhagen,Danish Krone,Danish,PM – Lars Løkke Rasmussen
Djibouti,Djibouti,Djiboutian franc,Arabic; French,PM – Abdoulkader Kamil Mohamed
Dominica,Roseau,East Caribbean dollar,English; French;,PM – Roosevelt Skerrit
Dominican Republic,Santo Domingo,Dominican Peso,Spanish,President – Danilo Medina
Ecuador,Quito,U.S. dollar,Spanish,President – Lenín Moreno
Egypt,Cairo,Egyptian pound,Arabic,PM – Moustafa Madbouly
El Salvador,San Salvador,Colón; U.S. dollar,Spanish,President – Nayib Bukele
Equatorial Guinea,Malabo,CFA Franc,Spanish; French; Portuguese,PM – Vicente Ehate  Tomi
Eritrea,Asmara,Nakfa,Arabic; Tigrinya; English,President – Isaias Afwerki
Estonia,Tallinn,Estonia Kroon; Euro,Estonian,PM – Jüri Ratas
Ethiopia,Addis Ababa,Birr,Amharic,PM – Abiy Ahmed
Fiji,Suva,Fiji dollar,English; Bau Fijian; Hindi,PM – Frank Bainimarama
Finland,Helsinki,Euro/Markka,Finnish; Swedish,PM – Juha Sipilä
France,Paris,Euro/Franc,French,PM – Édouard Philippe
Gabon,Libreville,CFA Franc,French,PM – Julien Nkoghe Bekale
The Gambia,Banjul,Dalasi,English,President – Adama Barrow
Georgia,Tbilisi,Lari,Georgian,PM – Mamuka Bakhtadze
Germany,Berlin,Euro/Mark,German,Chancellor – Angela Merkel
Ghana,Accra,Cedi,English,PM– Kwame Nkrumah
Greece,Athens,Euro/Drachma,Greek,PM – Alexis Tsipras
Grenada,Saint George's,East Caribbean dollar,English; Patois,PM – Keith Mitchell
Guatemala,Guatemala City,Quetzal,Spanish,President – Jimmy Morales
Guinea,Conakry,Guinean franc,French,PM – Mamady Youla
Guinea-Bissau,Bissau,CFA Franc,Portuguese,PM – Baciro Djá
Guyana,Georgetown,Dollar,English,PM – Moses Nagamootoo
Haiti,Port-au-Prince,Gourde,Haitian Creole; French,PM – Jean-Michel Lapin
Honduras,Tegucigalpa,Lempira,Spanish,President – Juan Orlando Hernández
Hungary,Budapest,Forint,Hungarian,PM – Viktor Orbán
Iceland,Reykjavik,Icelandic króna,Icelandic,PM – Katrín Jakobsdóttir
India,New Delhi,Indian Rupee,Hindi; English,PM – Narendra Modi
Indonesia,Jakarta,Rupiah,Indonesian,President – Joko Widodo
Iran,Tehran,Rial,Persian,President – Hassan Rouhani
Iraq,Baghdad,Iraqi Dinar,Arabic; Kurdish,PM – Adil Abdul-Mahdi
Ireland,Dublin,Euro/Pound,English; Irish,PM-Taoiseach – Leo Varadkar
Israel,Jerusalem,Shekel,Hebrew; Arabic,PM – Benjamin Netanyahu
Italy,Rome,Euro/Lira,Italian,PM – Giuseppe Conte
Jamaica,Kingston,Jamaican dollar,English,PM – Andrew Holness
Japan,Tokyo,Yen,Japanese,PM – Shinzō Abe
Jordan,Amman,Jordanian dinar,Arabic,PM – Omar Razzaz
Kazakhstan,Astana,Tenge,Kazakh; Russian,PM – Askar Mamin
Kenya,Nairobi,Kenya shilling,Swahili; English,President – Uhuru Kenyatta
Kiribati,Tarawa Atoll,Dollar,English; Gilbertese,President – Taneti Mamau
"Korea, North",Pyongyang,Won,Korean,Premier of the Cabinet – Kim Jong-un
"Korea, South",Seoul,Won,Korean,PM – Lee Nak-yeon
Kosovo,Pristina,Euro,Albanian; Serbian,PM – Ramush Haradinaj
Kuwait,Kuwait City,Kuwaiti Dinar,Arabic; English,PM – Sheikh Jaber Al-Mubarak Al-Hamad Al-Sabah
Kyrgyzstan,Bishkek,Som,Kyrgyz; Russian,PM – Muhammetkaliy Abulgaziyev
Laos,Vientiane,New Kip,Lao (Laotian),PM – Thongloun Sisoulith
Latvia,Riga,Lats,Latvian,PM –Krišjānis Kariņš
Lebanon,Beirut,Lebanese pound,Arabic; French,President of the Council of Ministers – Saad Hariri
Lesotho,Maseru,Maluti,Sesotho; English,PM – Tom Thabane
Liberia,Monrovia,Liberian dollar,English,President – George Weah
Libya,Tripoli,Libyan dinar,Arabic,PM – Fayez al-Sarraj
Liechtenstein,Vaduz,Swiss franc,German,PM-Adrian Hasler
Lithuania,Vilnius,Litas,Lithuanian,PM – Saulius Skvernelis
Luxembourg,Luxembourg,Euro,German; French;,PM – Xavier Bettel
Macedonia,Skopje,Denar,Macedonian,President of the Government – Gjorge Ivanov
Madagascar,Antananarivo,Malagasy Ariary,Malagasy; French; English,PM – Olivier Mahafaly Solonandrasana
Malawi,Lilongwe,Kwacha,English,President – Peter Mutharika
Malaysia,Kuala Lumpur,Ringgit,Malay,PM –  Mahathir Mohamad
Maldives,Male,Rufiyaa,Dhivehi,President – Ibrahim Mohamed Solih
Mali,Bamako,CFA Franc,French,PM – Soumeylou Boubèye Maïga
Malta,Valletta,Euro,Maltese; English,PM – Joseph Muscat
Marshall Islands,Majuro,U.S. Dollar,Marshallese; English,PM – Stefan Löfven
Mauritania,Nouakchott,Ouguiya,Arabic,PM – Yahya Ould Hademine
Mauritius,Port Louis,Rupee,English,PM – Pravind Jugnauth
Mexico,Mexico City,Mexican peso,Spanish,President – Andrés Manuel López Obrador
Micronesia,Palikir,U.S. Dollar,English,President – Peter M. Christian
Moldova,Chisinau,Leu,Moldovan (Romanian),PM – Pavel Filip
Monaco,Monaco,Euro,French; Italian; English,Minister of State – Serge Telle
Mongolia,Ulaanbaatar,Togrog,Mongolian,PM – Ukhnaagiin Khürelsükh
Montenegro,Podgorica,Euro,Montenegrin,PM – Duško Marković
Morocco,Rabat,Dirham,Arabic,PM-Saadeddine Othmani
Mozambique,Maputo,Metical,Portuguese,PM – Carlos Agostinho do Rosário
Myanmar (Burma),Rangoon,Kyat,Burmese,President– Win Myint
Namibia,Windhoek,Namibian dollar,English; Afrikaans; German,PM – Saara Kuugongelwa
Nepal,Kathmandu,Nepalese rupee,Nepali,PM – KP Sharma Oli
Netherlands,Amsterdam,Euro/Guilder,Dutch,PM – Mark Rutte
New Zealand,Wellington,Dollar,English,PM – Jacinda Ardern
Nicaragua,Managua,Gold cordoba,Spanish,President – Daniel Ortega
Niger,Niamey,CFA Franc,French,PM – Brigi Rafini
Nigeria,Abuja,Naira,English,PM– Sir Abubakar Tafawa Balewa
Norway,Oslo,Norwegian krone,Norwegian,PM – Erna Solberg
Oman,Muscat,Omani rial,Arabic,Sultan and PM – Qaboos bin Said al Said
Pakistan,Islamabad,Rupee,Urdu; English,PM – Imran Khan
Palau,Melekeok,U.S. dollar,English; Palauan,President – Thomas Remengesau Jr.
Panama,Panama City,Balboa; U.S. dollar,Spanish,President – Juan Carlos Varela
Papua New Guinea,Port Moresby ,Kina,English; Tok Pisin;,PM – Peter O'Neill
Paraguay,Asuncion,Guaraní,Spanish; Guarani,President – Mario Abdo Benítez
Peru,Lima,Nuevo sol,Spanish,PM – Salvador del Solar
Philippines,Manila,Peso,Filipino; English,President – Rodrigo Duterte
Poland,Warsaw,Zloty,Polish,PM – Mateusz Morawiecki
Portugal,Lisbon,Euro/Escudo,Portuguese,PM – António Costa
Qatar,Doha,Qatari riyal,Arabic,PM – Sheikh Abdullah bin Nasser
Romania,Bucharest,Romanian Rupee,Romanian,PM – Viorica Dăncilă
Russia,Moscow,Ruble,Romanian,PM – Dmitry Medvedev
Rwanda,Kigali,Rwandan franc,Russian,PM – Édouard Ngirente
Saint Kitts and Nevis,Basseterre,East Caribbean dollar,English,PM – Timothy Harris
Saint Lucia,Castries,East Caribbean dollar,English,PM – Allen Chastanet
Samoa,Apia,Tala,"Samoan, English",PM – Tuilaepa Aiono Sailele Malielegaoi
San Marino,San Marino,Euro,Italian,Pasquale Valentini
Sao Tome and Principe,Sao Tome,Dobra,Portuguese,PM – Patrice Trovoada
Saudi Arabia,Riyadh,Riyal,Arabic,King and PM – Salman of Saudi Arabia
Senegal,Dakar,CFA Franc,French,PM – Mohammed Dionne
Serbia,Belgrade,Dinar,Serbian,PM – Ana Brnabić
Seychelles,Victoria,Rupee,"Creole, French English",President – Danny Faure
Sierra Leone,Freetown,Leone,English,President – Julius Maada Bio
Singapore,Singapore,Dollar,"English, Chinese and Malay",PM – Lee Hsien Loong
Slovakia,Bratislava,Euro,Slovak,PM – Peter Pellegrini
Slovenia,Ljubljana,Tolar; euro,Slovene,PM – Marjan Šarec
Solomon Islands,Honiara,Dollar,English,PM – Rick Houenipwela
Somalia,Mogadishu,Shilling,Arabic,PM – Hassan Ali Khayre
South Africa,Pretoria/Cape Town,Rand,Afrikaans,President – Cyril Ramaphosa
South Sudan,Juba,Sudanese Pound,English,President – Salva Kiir Mayardit
Spain,Madrid,Euro/Peseta,"Spanish, Catalan Galician , Gasque",PM - Pedro Sánchez
Sri Lanka,Colombo,Sri Lankan rupee,"Sinhala, Tamil",PM – Ranil Wickremesinghe
Sudan,Khartoum,Sudanese Pound,"Arabic, English",PM –Mohamed Tahir Ayala
Suriname,Paramaribo,Dollar,Dutch,President – Dési Bouterse
Swaziland,Mbabane,Lilangeni,"English, Swati",PM –Ambrose Mandvulo Dlamini
Sweden,Stockholm,Krona,Swedish,PM – Stefan Löfven
Switzerland,Berne,Swiss franc,"German, French, Italian, Romansh",President - Ueli Maurer
Syria,Damascus,Pound,Arabic,PM – Imad Khamis
Taiwan,Taipei,Taiwan dollar,Standard Chinese,PM– Su Tseng-chang
Tajikistan,Dushanbe,somoni,Tajik; Russian,PM – Kokhir Rasulzoda
Tanzania,Dar es Salaam,Shilling,"Swahili, English",PM – Kassim Majaliwa
Thailand,Bangkok,Baht,Thai,PM – Prayut Chan-o-cha
Togo,Lome,CFA Franc,French,PM – Komi Sélom Klassou
Tonga,Nuku'alofa,Pa'anga,English,PM – ʻAkilisi Pōhiva
Trinidad and Tobago,Port-of-Spain,Dollar,English,PM – Keith Rowley
Tunisia,Tunis,Tunisian dinar,Arabic,PM-Youssef Chahed
Turkey,Ankara,Lira (YTL),Turkish,PM – Binali Yıldırım
Turkmenistan,Ashgabat,Manat,Turkmen,President – Gurbanguly Berdimuhamedow
Tuvalu,Vaiaku village,Dollar,Tuvaluan; English,PM – Enele Sopoaga
Uganda,Kampala,Ugandan new shilling,"Swahili, English, Luganda",PM – Ruhakana Rugunda
Ukraine,Kiev,Hryvnia,Ukrainian,PM – Volodymyr Groysman
United Arab Emirates,Abu Dhabi,U.A.E. Dirham,Arabic,PM – Sheikh Mohammed bin Rashid Al Maktoum
United Kingdom,London,Pound sterling,English,PM – Theresa May
United States of America,Washington D.C.,Dollar,English,President – Donald Trump
Uruguay,Montevideo,Peso,Spanish,President – Tabaré Vázquez
Uzbekistan,Tashkent,Sum,Uzbek,PM – Abdulla Aripov
Vanuatu,Port-Vila,Vatu,"Bislama, French, English",PM – Charlot Salwai
Vatican City,Vatican City,Euro,Italian,Cardinal Pietro Parolin
Venezuela,Caracas,Bolivar,Spanish,President – Nicolás Maduro
Vietnam,Hanoi,Dong,Vietnamese,Nguyễn Phú Trọng
Yemen,Sanaa,Rial,Arabic,PM – Ahmed Obeid bin Daghr
Zambia,Lusaka,Kwacha,English,PM – Mainza Chona
Zimbabwe,Harare,Dollar,"English, Shona, Ndebele",PM – Robert Mugabe
